id,disposition,mission
TIC 26123781,CONFIRMED,K2
TIC 26123781,CONFIRMED,K2
TIC 26123781,CONFIRMED,K2
TIC 176942156,CANDIDATE,K2
TIC 176942156,CANDIDATE,K2
TIC 380166702,CANDIDATE,K2
TIC 96244568,CANDIDATE,K2
TIC 96244568,CANDIDATE,K2
TIC 49427200,CANDIDATE,K2
TIC 173145687,CANDIDATE,K2
TIC 49504409,CANDIDATE,K2
TIC 56754094,CANDIDATE,K2
TIC 96199085,CANDIDATE,K2
TIC 38116202,CONFIRMED,K2
TIC 443616789,CANDIDATE,K2
TIC 443616789,CANDIDATE,K2
TIC 349458175,CANDIDATE,K2
TIC 173109451,CANDIDATE,K2
TIC 62965118,CANDIDATE,K2
TIC 62965118,CANDIDATE,K2
TIC 49429059,CANDIDATE,K2
TIC 35019000,CONFIRMED,K2
TIC 35019000,CONFIRMED,K2
TIC 35019000,CANDIDATE,K2
TIC 35019000,CANDIDATE,K2
TIC 173163938,CANDIDATE,K2
TIC 173147407,CANDIDATE,K2
TIC 173147407,CANDIDATE,K2
TIC 78312435,CANDIDATE,K2
TIC 78312435,CANDIDATE,K2
TIC 78312435,CANDIDATE,K2
TIC 446672940,FALSE POSITIVE,K2
TIC 446672940,FALSE POSITIVE,K2
TIC 421194234,CANDIDATE,K2
TIC 38132622,CANDIDATE,K2
TIC 38086751,CANDIDATE,K2
TIC 38086751,CANDIDATE,K2
TIC 38086751,CANDIDATE,K2
TIC 38116677,CANDIDATE,K2
TIC 38116677,CANDIDATE,K2
TIC 38116680,CANDIDATE,K2
TIC 56813470,CANDIDATE,K2
TIC 421192026,CANDIDATE,K2
TIC 56760106,CANDIDATE,K2
TIC 38161230,FALSE POSITIVE,K2
TIC 38161230,FALSE POSITIVE,K2
TIC 38161230,FALSE POSITIVE,K2
TIC 38161230,FALSE POSITIVE,K2
TIC 38161230,FALSE POSITIVE,K2
TIC 349456881,CANDIDATE,K2
TIC 349456881,CANDIDATE,K2
TIC 147677251,CANDIDATE,K2
TIC 173164319,CANDIDATE,K2
TIC 443612346,CANDIDATE,K2
TIC 66664366,CANDIDATE,K2
TIC 56812600,CANDIDATE,K2
TIC 49428482,CANDIDATE,K2
TIC 66664249,CONFIRMED,K2
TIC 49417963,CANDIDATE,K2
TIC 49417963,CANDIDATE,K2
TIC 49417963,CANDIDATE,K2
TIC 38140238,CANDIDATE,K2
TIC 147684088,CANDIDATE,K2
TIC 425281171,CANDIDATE,K2
TIC 301610040,CONFIRMED,K2
TIC 301610040,CANDIDATE,K2
TIC 301610040,CANDIDATE,K2
TIC 301610040,CANDIDATE,K2
TIC 301610040,CANDIDATE,K2
TIC 301610040,CANDIDATE,K2
TIC 380543172,CANDIDATE,K2
TIC 380543172,CANDIDATE,K2
TIC 380543172,CANDIDATE,K2
TIC 363546314,CANDIDATE,K2
TIC 380576148,CANDIDATE,K2
TIC 380576148,CANDIDATE,K2
TIC 281782214,CANDIDATE,K2
TIC 363618134,CANDIDATE,K2
TIC 363618134,CANDIDATE,K2
TIC 363550117,CANDIDATE,K2
TIC 281731331,CANDIDATE,K2
TIC 396951334,CANDIDATE,K2
TIC 301610642,CANDIDATE,K2
TIC 301610642,CANDIDATE,K2
TIC 397013318,FALSE POSITIVE,K2
TIC 366682587,CANDIDATE,K2
TIC 325315497,CANDIDATE,K2
TIC 902906874,CANDIDATE,K2
TIC 325275220,CANDIDATE,K2
TIC 325275220,CANDIDATE,K2
TIC 325275220,CANDIDATE,K2
TIC 325275220,CANDIDATE,K2
TIC 301558541,FALSE POSITIVE,K2
TIC 301558541,FALSE POSITIVE,K2
TIC 396999673,CANDIDATE,K2
TIC 366661089,CANDIDATE,K2
TIC 366661089,CANDIDATE,K2
TIC 363531159,CANDIDATE,K2
TIC 363531159,CANDIDATE,K2
TIC 397052808,CONFIRMED,K2
TIC 397052808,CONFIRMED,K2
TIC 397052808,CONFIRMED,K2
TIC 363516247,CANDIDATE,K2
TIC 363516247,CANDIDATE,K2
TIC 363516247,CANDIDATE,K2
TIC 363480617,CANDIDATE,K2
TIC 363480617,CANDIDATE,K2
TIC 377171980,CONFIRMED,K2
TIC 337748956,CANDIDATE,K2
TIC 337748956,CANDIDATE,K2
TIC 337748956,CANDIDATE,K2
TIC 337748956,CANDIDATE,K2
TIC 337748956,CANDIDATE,K2
TIC 301560825,CANDIDATE,K2
TIC 301560825,CANDIDATE,K2
TIC 363445389,CANDIDATE,K2
TIC 363445389,CANDIDATE,K2
TIC 380544493,CANDIDATE,K2
TIC 363478545,CANDIDATE,K2
TIC 363478545,CANDIDATE,K2
TIC 301468055,CANDIDATE,K2
TIC 325315305,FALSE POSITIVE,K2
TIC 325315305,FALSE POSITIVE,K2
TIC 363571922,CANDIDATE,K2
TIC 363571922,CANDIDATE,K2
TIC 363571922,CANDIDATE,K2
TIC 363548738,CANDIDATE,K2
TIC 301540319,CANDIDATE,K2
TIC 325314405,CANDIDATE,K2
TIC 301624989,CANDIDATE,K2
TIC 301624989,CANDIDATE,K2
TIC 281888055,CANDIDATE,K2
TIC 281888055,CANDIDATE,K2
TIC 363573780,CANDIDATE,K2
TIC 397024870,CANDIDATE,K2
TIC 380545567,CANDIDATE,K2
TIC 380545567,CANDIDATE,K2
TIC 380545567,CANDIDATE,K2
TIC 380545567,CANDIDATE,K2
TIC 376757872,CANDIDATE,K2
TIC 903094635,CANDIDATE,K2
TIC 301605847,CANDIDATE,K2
TIC 281886199,CONFIRMED,K2
TIC 380546118,CONFIRMED,K2
TIC 425280270,CANDIDATE,K2
TIC 425284468,FALSE POSITIVE,K2
TIC 425284468,FALSE POSITIVE,K2
TIC 425284468,FALSE POSITIVE,K2
TIC 425284468,FALSE POSITIVE,K2
TIC 363515702,CANDIDATE,K2
TIC 363515702,CANDIDATE,K2
TIC 363515702,CANDIDATE,K2
TIC 380547741,CANDIDATE,K2
TIC 281910149,CANDIDATE,K2
TIC 281910149,CANDIDATE,K2
TIC 281910149,CANDIDATE,K2
TIC 281910149,CANDIDATE,K2
TIC 281910149,CANDIDATE,K2
TIC 363444743,CONFIRMED,K2
TIC 363444743,CONFIRMED,K2
TIC 301604245,CANDIDATE,K2
TIC 380583651,CONFIRMED,K2
TIC 380583651,CONFIRMED,K2
TIC 380583651,CONFIRMED,K2
TIC 380583651,CANDIDATE,K2
TIC 380583651,CANDIDATE,K2
TIC 350475295,CANDIDATE,K2
TIC 291074740,CANDIDATE,K2
TIC 291074740,CANDIDATE,K2
TIC 396915707,CANDIDATE,K2
TIC 396947594,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388915104,CANDIDATE,K2
TIC 388915104,CANDIDATE,K2
TIC 388769008,CANDIDATE,K2
TIC 396915596,CANDIDATE,K2
TIC 396915596,CANDIDATE,K2
TIC 396915593,FALSE POSITIVE,K2
TIC 388913291,FALSE POSITIVE,K2
TIC 55072605,FALSE POSITIVE,K2
